"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"1000MERCIS";"FR0010285965";"ALMIL";"NYSE Alternext Paris";"EUR";"36.86";"37.00";"36.86";"36.99";"07/09/2012 17:07";"CET";"2144";"79312.41"
"1855";"FR0004168243";"AL185";"NYSE Alternext Paris";"EUR";"0.04";"0.04";"0.03";"0.04";"07/09/2012 15:20";"CET";"230400";"8160.50"
"1NOMIJ";"NL0010070777";"1NOMY";"NYSE Euronext Amsterdam";"EUR";"0.25";"0.25";"0.25";"0.25";"20/08/2012 11:30";"CET";"180";"45.00"
"3I GROUP";"GB00B1YW4409";"IIIl";"NYSE Arca Europe";"GBP";"213.40";"213.40";"213.40";"213.40";"14/08/2012 10:18";"CET";"456";"97310.40"
"3I INFRASTRUCTURE";"JE00B1RJLF86";"3INl";"NYSE Arca Europe";"GBP";"123.80";"123.80";"123.80";"123.80";"02/08/2012 09:07";"CET";"1";"123.80"
"3M";"US88579Y1010";"MMMn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"4ENERGY INV (D)";"BE0003888089";"ENIN";"NYSE Euronext Brussels";"EUR";"0.60";"0.60";"0.57";"0.57";"07/09/2012 15:50";"CET";"41737";"24242.76"
"4ENERGY STR (D)";"BE0005625968";"ENINS";"NYSE Euronext Brussels";"EUR";"0.001";"0.001";"0.001";"0.001";"27/08/2012 15:00";"CET";"4661";"4.66"
"888 HOLDINGS";"GI000A0F6407";"888l";"NYSE Arca Europe";"GBP";"78.00";"78.00";"78.00";"78.00";"26/04/2012 14:01";"CET";"18053";"1408134.00"
"A ET CO";"FR0000075160";"MLACO";"Marché Libre Paris";"EUR";"6.99";"6.99";"6.99";"6.99";"02/04/2012 15:00";"CET";"11";"76.89"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Marché Libre Paris";"EUR";"4.41";"4.41";"4.41";"4.41";"30/08/2012 15:00";"CET";"120";"529.20"
"A-TEC INDUSTRIES";"AT00000ATEC9";"ATECv";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"A.B FOODS";"GB0006731235";"ABFl";"NYSE Arca Europe";"GBP";"1334.00";"1334.00";"1303.00";"1303.00";"07/09/2012 17:28";"CET";"854";"4312302.00"
"A.S.T. GROUPE";"FR0000076887";"ASP";"NYSE Euronext Paris";"EUR";"3.56";"3.56";"3.42";"3.42";"07/09/2012 15:36";"CET";"3166";"11042.80"
"A2A";"IT0001233417";"A2Am";"NYSE Arca Europe";"EUR";"0.338";"0.3445";"0.338";"0.3445";"02/08/2012 14:33";"CET";"200";"68.25"
"A2MICILE EUROPE";"FR0010795476";"ALA2M";"NYSE Alternext Paris";"EUR";"5.19";"5.19";"5.19";"5.19";"07/09/2012 09:00";"CET";"1";"5.19"
"AAA AUTO GROUP";"NL0006033375";"AAAk";"NYSE Arca Europe";"CZK";"-";"-";"-";"-";"-";"-";"-";"-"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"NYSE Euronext Amsterdam";"EUR";"13.79";"14.025";"13.77";"13.94";"07/09/2012 17:35";"CET";"233427";"3255417.74"
"AAMIGOO";"CWN001011006";"AMIGO";"NYSE Euronext Amsterdam";"EUR";"3.10";"3.10";"3.10";"3.10";"07/09/2012 16:30";"CET";"2187";"6779.70"
"AAREAL BANK";"DE0005408116";"ARLd";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"AAREAL BKCAP FD TR";"XS0138973010";"DEPCF";"NYSE Euronext Amsterdam";"EUR";"19.99";"20.00";"19.50";"19.99";"07/09/2012 16:54";"CET";"8995";"178275.50"
"AB INBEV";"BE0003793107";"ABI";"NYSE Euronext Brussels";"EUR";"69.59";"71.05";"68.07";"68.09";"07/09/2012 17:36";"CET";"3286201";"228263205.36"
"AB INBEV STR VVPR";"BE0005582532";"ABIS";"NYSE Euronext Brussels";"EUR";"0.001";"0.001";"0.001";"0.001";"07/09/2012 15:00";"CET";"2600";"2.60"
"AB SCIENCE";"FR0010557264";"AB";"NYSE Euronext Paris";"EUR";"10.79";"10.83";"10.56";"10.64";"07/09/2012 17:26";"CET";"51283";"549413.28"
"ABB N";"CH0012221716";"ABBNz";"NYSE Arca Europe";"CHF";"17.28";"17.70";"17.28";"17.70";"07/09/2012 17:19";"CET";"21580";"803541.02"
"ABBOTT LABS";"US0028241000";"ABTn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
